Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;
1.05029;-0.0537741;0.0828356;-86.4865;-5.18577;19.801;0.0721906;0.895122;-5.24372;90.6227;-5.24384;122.496;-8.64966;-14.121;-20.6009;-7.73349;
1.06029;-0.0537841;0.082747;-86.4316;-5.1847;19.7991;0.0721622;0.903826;-5.24359;90.5553;-5.24371;122.434;-8.63715;-14.1209;-20.5594;-7.7334;
1.07029;-0.0537948;0.0826586;-86.3765;-5.18363;19.7971;0.0721315;0.912549;-5.24346;90.488;-5.24359;122.371;-8.62464;-14.1207;-20.5179;-7.7333;
1.08029;-0.0538045;0.0825995;-86.3213;-5.18254;19.7952;0.0720993;0.921282;-5.24332;90.4207;-5.24346;122.309;-8.61214;-14.1206;-20.4764;-7.73321;
1.0903;-0.0538134;0.0825772;-86.2662;-5.18145;19.7933;0.0720667;0.930005;-5.24319;90.353;-5.24333;122.246;-8.59964;-14.1205;-20.4349;-7.73312;
1.1003;-0.0538223;0.0825904;-86.211;-5.18035;19.7913;0.0720347;0.938739;-5.24305;90.2846;-5.24319;122.183;-8.58714;-14.1204;-20.3932;-7.73304;
1.1103;-0.0538308;0.082637;-86.1556;-5.17923;19.7894;0.0720049;0.947497;-5.24291;90.2163;-5.24306;122.12;-8.57464;-14.1203;-20.3516;-7.73295;
1.12031;-0.0538393;0.0827025;-86.1001;-5.17811;19.7875;0.0719778;0.956291;-5.24277;90.1479;-5.24293;122.057;-8.56214;-14.1202;-20.31;-7.73287;
1.13031;-0.0538478;0.0827773;-86.0448;-5.17698;19.7855;0.071954;0.96503;-5.24263;90.0796;-5.24279;121.994;-8.54964;-14.1201;-20.2683;-7.73279;
1.14031;-0.0538558;0.0828225;-85.9897;-5.17585;19.7836;0.0719328;0.973746;-5.24249;90.0109;-5.24266;121.93;-8.53715;-14.12;-20.2267;-7.73271;
1.15031;-0.0538376;0.0813246;-85.9349;-5.17471;19.7817;0.0718485;0.982409;-5.24234;89.9417;-5.24252;121.867;-8.52466;-14.1199;-20.1851;-7.73264;
1.16032;-0.0538583;0.0820331;-85.8804;-5.17357;19.7798;0.0717971;0.991018;-5.24219;89.8725;-5.24238;121.803;-8.51216;-14.1197;-20.1434;-7.73257;
1.17032;-0.0538107;0.0790034;-85.8263;-5.17244;19.7779;0.0717188;0.999556;-5.24205;89.8034;-5.24224;121.74;-8.49966;-14.1196;-20.1018;-7.7325;
1.18032;-0.0538396;0.0796959;-85.771;-5.17127;19.7759;0.071583;1.00827;-5.2419;89.7342;-5.2421;121.676;-8.48714;-14.1195;-20.0602;-7.73243;
1.19032;0.00856184;0.076789;-85.716;-5.1701;19.775;0.0714549;1.01691;-5.24175;89.6647;-5.24196;121.612;-8.47462;-14.1194;-20.0185;-7.73236;
1.20033;0.232401;0.0802768;-85.6611;-5.16892;19.7802;0.0713547;1.02551;-5.2416;89.5946;-5.24181;121.548;-8.4621;-14.1193;-19.9769;-7.7323;
1.21033;0.276332;0.0764266;-85.6055;-5.16772;19.7898;0.0712686;1.0342;-5.24145;89.5246;-5.24167;121.484;-8.44958;-14.1192;-19.9353;-7.73224;
1.22033;0.457207;0.080208;-85.551;-5.16653;19.8008;0.0711065;1.0427;-5.2413;89.4546;-5.24153;121.42;-8.43707;-14.1191;-19.8936;-7.73217;
1.23034;0.669716;0.079163;-85.4949;-5.16531;19.8232;0.0710311;1.05142;-5.24115;89.3846;-5.24138;121.356;-8.42457;-14.119;-19.852;-7.73211;
1.24034;0.701676;0.0730934;-85.4407;-5.16411;19.8477;0.0708247;1.05982;-5.241;89.3142;-5.24124;121.292;-8.41207;-14.1188;-19.8103;-7.73205;
1.25034;0.709809;0.0708769;-85.3854;-5.16289;19.8732;0.0704926;1.06834;-5.24084;89.2435;-5.24109;121.227;-8.39956;-14.1187;-19.7687;-7.732;
1.26034;0.713693;0.0697014;-85.3309;-5.16168;19.8985;0.0700659;1.07667;-5.24068;89.1727;-5.24094;121.163;-8.38706;-14.1186;-19.7271;-7.73195;
1.27035;0.716945;0.0623431;-85.2754;-5.16043;19.9243;0.0694904;1.08507;-5.24053;89.1019;-5.24079;121.098;-8.37456;-14.1185;-19.6855;-7.7319;
1.28035;0.711537;0.0588653;-85.2209;-5.15921;19.9498;0.0688455;1.09321;-5.24037;89.0311;-5.24064;121.034;-8.36206;-14.1184;-19.6439;-7.73184;
1.29035;0.690336;0.0524032;-85.1658;-5.15796;19.9749;0.0680799;1.10133;-5.24021;88.9599;-5.24049;120.969;-8.34955;-14.1183;-19.6023;-7.73179;
1.30035;0.682279;0.0499413;-85.1101;-5.1567;19.9996;0.0672075;1.1094;-5.24005;88.888;-5.24034;120.904;-8.33705;-14.1182;-19.5605;-7.73175;
1.31036;0.720189;0.0423376;-85.0536;-5.15541;20.0252;0.0661237;1.1174;-5.23989;88.8161;-5.24018;120.839;-8.32454;-14.1181;-19.5187;-7.7317;
1.32036;0.859966;0.0400864;-84.9984;-5.15415;20.0538;0.0650268;1.12503;-5.23973;88.7442;-5.24003;120.774;-8.31204;-14.1179;-19.477;-7.73166;
1.33036;0.893634;0.0315263;-84.9424;-5.15287;20.0857;0.0637781;1.13259;-5.23957;88.6723;-5.23988;120.708;-8.29955;-14.1178;-19.4352;-7.73162;
1.34037;0.900008;0.027463;-84.8858;-5.15157;20.1185;0.0623171;1.14002;-5.23941;88.6003;-5.23972;120.643;-8.28705;-14.1177;-19.3935;-7.73157;
1.35037;0.901525;0.0192855;-84.8309;-5.1503;20.1503;0.0607554;1.14695;-5.23924;88.5279;-5.23957;120.578;-8.27456;-14.1176;-19.352;-7.73154;
1.36037;0.902247;0.0123398;-84.7753;-5.14902;20.1826;0.0590117;1.15372;-5.23907;88.4555;-5.23941;120.512;-8.26206;-14.1175;-19.3104;-7.7315;
1.37037;0.902781;0.00606626;-84.719;-5.14772;20.2152;0.057097;1.1603;-5.23891;88.3832;-5.23925;120.447;-8.24956;-14.1174;-19.2688;-7.73146;
1.38038;0.850468;-0.00472359;-84.6625;-5.14642;20.2471;0.0550016;1.16661;-5.23874;88.3108;-5.23909;120.382;-8.23707;-14.1173;-19.2273;-7.73142;
1.39038;0.831694;-0.0102407;-84.6061;-5.14512;20.2773;0.0527475;1.17254;-5.23858;88.238;-5.23894;120.316;-8.22458;-14.1172;-19.1857;-7.73139;
1.40038;0.82799;-0.0177809;-84.5489;-5.1438;20.3075;0.0503116;1.17822;-5.23841;88.1646;-5.23878;120.25;-8.21208;-14.1171;-19.1439;-7.73136;
1.41038;0.82693;-0.0235144;-84.4922;-5.14249;20.3375;0.0478149;1.18352;-5.23824;88.0911;-5.23861;120.184;-8.19959;-14.1169;-19.1022;-7.73133;
1.42039;0.826257;-0.0272736;-84.4355;-5.14119;20.3673;0.0451891;1.18845;-5.23807;88.0176;-5.23845;120.118;-8.18709;-14.1168;-19.0605;-7.7313;
